Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
Roger Espinoza,Honduras,25,170,60,Male,10/25/1986,,Football,Men's Football,Not Won,,,
Roger Federer,Switzerland,30,185,85,Male,8/8/1981,,Tennis,"Men's Singles, Men's Doubles",Won,,1,
Roger Hudson,South Africa,34,177,75,Male,3/22/1978,Cape Town (RSA),Sailing,Men's 470,Not Won,,,
Roger Kluge,Germany,26,193,83,Male,2/5/1986,EISENHUTTENSTADT (GER),Cycling - Track,Men's Omnium,Not Won,,,
Roger Rinderknecht,Switzerland,31,186,83,Male,5/4/1981,Winterthur (SUI),Cycling - BMX,Men's BMX,Not Won,,,
Rogier Blink,Netherlands,30,199,90,Male,1/13/1982,,Rowing,Men's Eight,Not Won,,,
Rogier Hofman,Netherlands,25,184,79,Male,9/5/1986,,Hockey,Men's Hockey,Not Won,,,
Rohan Bopanna,India,32,,,Male,3/4/1980,,Tennis,Men's Doubles,Not Won,,,
Rohan Dennis,Australia,22,182,72,Male,5/28/1990,Ashford (AUS),Cycling - Track,Men's Team Pursuit,Won,,0.25,
Rohollah Asgari,Islamic Republic of Iran,30,187,82,Male,1/8/1982,Borojen (IRI),Athletics,Men's 110m Hurdles,Not Won,,,
Rohullah Nikpai,Afghanistan,25,180,,Male,6/15/1987,WARDAK (AFG),Taekwondo,Men's -68kg,Won,,,1
Rok Draksic,Slovenia,25,166,64,Male,1/2/1987,Celje (SLO),Judo,Men's -66kg,Not Won,,,
Rokas Milevicius,Lithuania,25,187,83,Male,12/10/1986,Kaunas (LTU),Sailing,Men's Laser,Not Won,,,
Roland Kokeny,Hungary,36,185,89,Male,10/24/1975,,Canoe Sprint,Men's Kayak Double (K2) 1000m,Won,0.5,,
Roland Mikler,Hungary,27,190,100,Male,9/20/1984,,Handball,Men's Handball,Not Won,,,
Roland Schlosser,Austria,29,189,83,Male,8/23/1982,,Fencing,Men's Individual Foil,Not Won,,,
Roland Schoeman,South Africa,32,190,84,Male,7/3/1980,Pretoria (RSA),Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay",Not Won,,,
Roland Varga,Croatia,34,196,125,Male,10/22/1977,Budapest (HUN),Athletics,Men's Discus Throw,Not Won,,,
Rolandas Mascinskas,Lithuania,19,199,96,Male,8/6/1992,,Rowing,Men's Double Sculls,Not Won,,,
Rolf-Goran Bengtsson,Sweden,50,171,70,Male,6/2/1962,HARDEBERGA (SWE),Equestrian,"Individual Jumping, Team Jumping, CASALL",Not Won,,,
Roline Repelaer van Driel,Netherlands,28,189,84,Female,7/28/1984,,Rowing,Women's Eight,Won,,,0.111
Romain Buffet,France,27,192,90,Male,2/4/1985,Rouen (FRA),Judo,Men's -90kg,Not Won,,,
Romain Girouille,France,24,193,75,Male,4/26/1988,SAINT,Archery,"Men's Individual, Men's Team",Not Won,,,
Romain Mesnil,France,35,188,75,Male,6/13/1977,LE PLESSIS BOUCHARD (FRA),Athletics,Men's Pole Vault,Not Won,,,
Romain Sassot,France,26,190,84,Male,2/26/1986,SAINT RÉMY (FRA),Swimming,Men's 4x100m Medley Relay,Not Won,,,
Roman Avramenko,Ukraine,24,185,95,Male,3/23/1988,CRIMEA (UKR),Athletics,Men's Javelin Throw,Not Won,,,
Roman Bondaruk,Ukraine,38,176,91,Male,6/20/1974,Lviv (UKR),Shooting,Men's 25m Rapid Fire Pistol,Not Won,,,
Roman Buerki,Switzerland,21,187,83,Male,11/14/1990,,Football,Men's Football,Not Won,,,
Roman Gontiuk,Ukraine,28,178,90,Male,2/2/1984,Ivano,Judo,Men's -90kg,Not Won,,,
Roman Kreuziger,Czech Republic,26,183,67,Male,5/6/1986,Moravska Trebova (CZE),Cycling - Road,Men's Road Race,Not Won,,,
Roman Kulesza,Poland,29,170,,Male,3/2/1983,GDANSK (POL),Gymnastics - Artistic,"Men's Individual All-Around, Men's Qualification",Not Won,,,
Roman Novotny,Czech Republic,26,181,77,Male,1/5/1986,Prerov (CZE),Athletics,Men's Long Jump,Not Won,,,
Roman Prodius,Republic of Moldova,31,181,69,Male,4/12/1981,CIMISLIA (MDA),Athletics,Men's Marathon,Not Won,,,
Roman Sebrle,Czech Republic,37,186,87,Male,11/26/1974,Lanskroun (CZE),Athletics,Men's Decathlon,Not Won,,,
Roman Sludnov,Russian Federation,32,188,84,Male,2/24/1980,Omsk (RUS),Swimming,Men's 100m Breaststroke,Not Won,,,
Roman Valiyev,Kazakhstan,28,192,78,Male,3/27/1984,Moscow (RUS),Athletics,Men's Triple Jump,Not Won,,,
Roman Vlasov,Russian Federation,21,170,74,Male,10/6/1990,Novosibirsk (RUS),Wrestling,Men's 74kg Greco-Roman,Won,1,,
Romana Labounkova,Czech Republic,23,167,68,Female,4/27/1989,Jesenik (CZE),Cycling - BMX,Women's BMX,Not Won,,,
Romana Zupan,Croatia,25,174,67,Female,5/22/1987,ZADAR (CRO),Sailing,Women's 470,Not Won,,,
Romano Battisti,Italy,25,190,92,Male,8/21/1986,,Rowing,Men's Double Sculls,Won,,0.5,
Romela Begaj,Albania,25,160,58,Female,11/2/1986,Tiranë,Weightlifting,Women's 58kg,Not Won,,,
Romell Quioto,Honduras,20,178,69,Male,8/9/1991,,Football,Men's Football,Not Won,,,
Romina Laurito,Italy,25,166,,Female,5/4/1987,GALLARATE (ITA),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Romuald Hausser,Switzerland,24,185,71,Male,4/16/1988,Genève (SUI),Sailing,Men's 470,Not Won,,,
Romuald Ntsitsigui,Gabon,21,168,69,Male,4/8/1991,,Football,Men's Football,Not Won,,,
Romulo Borges Monteiro,Brazil,21,185,82,Male,9/19/1990,,Football,Men's Football,Not Won,,,
Romy Tarangul,Germany,24,160,52,Female,10/19/1987,FRANKFURT/ODER (GER),Judo,Women's -52kg,Not Won,,,
Ronald Bennett,Honduras,27,175,70,Male,10/11/1984,TELA (HON),Athletics,Men's 110m Hurdles,Not Won,,,
Ronald Forbes,Cayman Islands,27,192,93,Male,4/5/1985,George Town (CAY),Athletics,Men's 110m Hurdles,Not Won,,,
Ronald Juliao,Brazil,27,194,113,Male,6/16/1985,CAIEIRAS (BRA),Athletics,Men's Discus Throw,Not Won,,,
Ronald Pognon,France,29,185,71,Male,11/16/1982,PANTIN (FRA),Athletics,Men's 4 x 100m Relay,Not Won,,,
Ronald Rauhe,Germany,30,179,82,Male,10/3/1981,,Canoe Sprint,"Men's Kayak Single (K1) 200m, Men's Kayak Double (K2) 200m",Not Won,,,
Ronald Zabala-Goetschel,Ecuador,45,170,69,Male,9/26/1966,QUITO (ECU),Equestrian,"Individual Eventing, MASTER ROSE",Not Won,,,
Rondel Sorrillo,Trinidad and Tobago,26,172,64,Male,1/24/1986,San Fernando (TRI),Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",Not Won,,,
Rondell Bartholomew,Grenada,22,184,60,Male,4/7/1990,SAINT PATRICK (GRN),Athletics,Men's 400m,Not Won,,,
Roniel Iglesias Sotolongo,Cuba,23,,,Male,8/14/1988,Pinar del Rio (CUB),Boxing,Men's Light Welter (64kg),Not Won,,,
Ronilson Oliveira,Brazil,22,181,76,Male,7/16/1990,Santos (BRA),Canoe Sprint,"Men's Canoe Single (C1) 200m, Men's Canoe Double (C2) 1000m",Not Won,,,
Ronja Schuette,Germany,22,180,72,Female,2/20/1990,,Rowing,Women's Eight,Not Won,,,
Rory David Warlow,Great Britain,22,175,75,Male,4/13/1990,Plymouth (GBR),Shooting,Men's Skeet,Not Won,,,
Rosa Chacha,Ecuador,29,155,45,Female,12/8/1982,AMBATO (ECU),Athletics,Women's Marathon,Not Won,,,
Rosa Pena Rocamontes,Mexico,17,160,52,Female,9/19/1994,SALTILLO (MEX),Shooting,Women's 10m Air Rifle,Not Won,,,
Rosa Rodriguez,Venezuela,26,180,85,Female,7/2/1986,PORTUGUESA (VEN),Athletics,Women's Hammer Throw,Not Won,,,
Rosa Tenorio Silva,Ecuador,27,163,69,Female,10/2/1984,GUAYAQUIL,Weightlifting,Women's 69kg,Not Won,,,
Rosalba Forciniti,Italy,26,159,52,Female,2/13/1986,COSENZA (ITA),Judo,Women's -52kg,Won,,,1
Rosana Dos Santos Augusto,Brazil,30,170,66,Female,7/7/1982,,Football,Women's Football,Not Won,,,
Rosangela Santos,Brazil,21,165,55,Female,12/20/1990,WASHINGTON D.C (BRA),Athletics,"Women's 100m, Women's 200m, Women's 4 x 100m Relay",Not Won,,,
Rosannagh Maclennan,Canada,23,158,,Female,8/28/1988,Toronto (CAN),Trampoline,Women's Trampoline,Won,1,,
Rosaria Console,Italy,32,166,50,Female,12/17/1979,MARTINA FRANCA (ITA),Athletics,Women's Marathon,Not Won,,,
Rosario la Mastra,Italy,28,,,Male,1/2/1984,Catania (ITA),Athletics,Men's 4 x 100m Relay,Not Won,,,
Rosario Luchetti,Argentina,28,161,56,Female,6/4/1984,Buenos Aires (ARG),Hockey,Women's Hockey,Not Won,,,
Rose Anderson,Great Britain,24,175,70,Female,3/23/1988,,Basketball,Women's Basketball,Not Won,,,
Rose Cossar,Canada,21,173,,Female,7/4/1991,Southampton (GBR),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Rose Mary Almanza,Cuba,20,,,Female,7/13/1992,Camaguey (CUB),Athletics,"Women's 800m, Women's 4 x 400m Relay",Not Won,,,
Roseli Feitosa,Brazil,23,174,,Female,3/15/1989,Sao Paulo (BRA),Boxing,Women's Middle (75kg),Not Won,,,
Roseline Filion,Canada,25,152,52,Female,7/3/1987,Laval (CAN),Diving,"Women's 10m Platform, Women's Synchronised 10m Platform",Won,,,0.5
Rosemarie Whyte,Jamaica,25,180,64,Female,8/9/1986,Trelawny (JAM),Athletics,"Women's 400m, Women's 4 x 400m Relay",Not Won,,,
Roser Tarrago Aymerich,Spain,19,170,59,Female,3/25/1993,Barcelona (ESP),Water Polo,Women's Water Polo,Won,,0.076,
Rosibel Garcia,Colombia,31,167,52,Female,2/13/1981,Caracas (VEN),Athletics,Women's 800m,Not Won,,,
Rosie Morris,Great Britain,26,180,69,Female,1/31/1986,,Water Polo,Women's Water Polo,Not Won,,,
Rosie White,New Zealand,19,165,63,Female,6/6/1993,,Football,Women's Football,Not Won,,,
Rosine Siewe Yamaleu,Cameroon,20,166,70,Female,11/25/1991,,Football,Women's Football,Not Won,,,
Ross Davenport,Great Britain,28,187,76,Male,5/23/1984,DERBY (GBR),Swimming,Men's 4x200m Freestyle Relay,Not Won,,,
Ross Hutchins,Great Britain,27,191,87,Male,2/22/1985,,Tennis,Men's Doubles,Not Won,,,
Ross James,United States of America,24,196,88,Male,8/17/1987,,Rowing,Men's Eight,Not Won,,,
Ross Murray,Great Britain,21,,,Male,10/8/1990,North Shields (GBR),Athletics,Men's 1500m,Not Won,,,
Ross Smith,Australia,27,194,80,Male,4/11/1985,SWAN HILL,Badminton,Men's Doubles,Not Won,,,
Rossella Fiamingo,Italy,21,168,56,Female,7/14/1991,,Fencing,"Women's Individual Epee, Women's Team Epee",Not Won,,,
Rosvitha Okou,Côte d'Ivoire,25,165,62,Female,8/5/1986,GAGNOA (CIV),Athletics,Women's 100m Hurdles,Not Won,,,
Rovshan Bayramov,Azerbaijan,25,160,55,Male,5/7/1987,Baku (AZE),Wrestling,Men's 55kg Greco-Roman,Won,,1,
Rowie Webster,Australia,24,178,80,Female,12/27/1987,EAST MELBOURNE (AUS),Water Polo,Women's Water Polo,Won,,,0.076
Roxana Cogianu,Romania,25,180,72,Female,9/21/1986,,Rowing,Women's Eight,Not Won,,,
Roxana Daniela Cocos,Romania,23,158,68,Female,6/5/1989,Bucuresti,Weightlifting,Women's 69kg,Won,,1,
Roxana Elisabeta Birca,Romania,24,167,47,Female,6/22/1988,Bucuresti (ROU),Athletics,Women's 5000m,Not Won,,,
Roxanne Barker,South Africa,21,178,76,Female,5/6/1991,,Football,Women's Football,Not Won,,,
Roxroy Cato,Jamaica,24,183,77,Male,1/5/1988,St Mary (JAM),Athletics,Men's 400m Hurdles,Not Won,,,
Roy Burch,Bermuda,26,185,80,Male,11/29/1985,Paget (BER),Swimming,Men's 50m Freestyle,Not Won,,,
Rozle Prezelj,Slovenia,32,195,80,Male,9/26/1979,Maribor (SLO),Athletics,Men's High Jump,Not Won,,,
Ruben Knab,Netherlands,24,192,98,Male,2/19/1988,,Rowing,Men's Four,Not Won,,,
Ruben Limardo Gascon,Venezuela,27,175,80,Male,8/3/1985,,Fencing,Men's Individual Epee,Won,1,,
Ruben Lopez,Spain,21,170,,Male,11/28/1990,Sabadell (ESP),Gymnastics - Artistic,"Men's Team, Men's Qualification",Not Won,,,
Ruben Oscar Voisard Rezola,Argentina,21,174,82,Male,4/21/1991,,Canoe Sprint,Men's Kayak Double (K2) 200m,Not Won,,,
Ruben Sanca,Cape Verde,25,188,63,Male,12/13/1986,CAPEVERD (CPV),Athletics,Men's 5000m,Not Won,,,
Rubens Valeriano,Brazil,32,,,Male,8/14/1979,SAO PEDRO DA UNIAO (BRA),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Rubie Joy Gabriel,Palau,17,157,52,Female,11/22/1994,Koror (PLW),Athletics,Women's 100m,Not Won,,,
Ruddy Zang Milama,Gabon,25,156,,Female,6/6/1987,Port,Athletics,Women's 100m,Not Won,,,
Rudi Lausarot,Uruguay,37,170,68,Male,4/3/1975,Rio Negro (URU),Shooting,Men's 10m Air Rifle,Not Won,,,
Rudi van Houts,Netherlands,28,177,64,Male,1/16/1984,LUYKSGESTEL (NED),Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Rudolf Dombi,Hungary,25,180,79,Male,11/9/1986,Budapest (HUN),Canoe Sprint,Men's Kayak Double (K2) 1000m,Won,0.5,,
Rudolph Williams,Samoa,33,,,Male,8/30/1978,,Canoe Sprint,"Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m",Not Won,,,
Rudy Fernandez,Spain,27,196,84,Male,4/4/1985,,Basketball,Men's Basketball,Not Won,,,
Ruedi Wild,Switzerland,30,187,72,Male,4/3/1982,RICHTERSWIL (SUI),Triathlon,Men's Triathlon,Not Won,,,
Ruggero Pertile,Italy,37,170,56,Male,8/8/1974,Camposampiero (ITA),Athletics,Men's Marathon,Not Won,,,
Rui Alberto Faria Costa,Portugal,25,183,68,Male,10/5/1986,POVOA DO VARZIM (POR),Cycling - Road,Men's Road Race,Not Won,,,
Rui Pedro Silva,Portugal,31,173,60,Male,5/6/1981,SANTO TIRSO (POR),Athletics,Men's Marathon,Not Won,,,
Ruixue Jing,People's Republic of China,24,170,63,Female,7/4/1988,Shaanxi (CHN),Wrestling,Women's 63kg Freestyle,Won,,1,
Ruolin Chen,People's Republic of China,19,158,47,Female,12/12/1992,Jiangsu (CHN),Diving,"Women's 10m Platform, Women's Synchronised 10m Platform",Won,1.5,,
Ruoqi Hui,People's Republic of China,21,189,70,Female,3/4/1991,Liaoning (CHN),Volleyball,Women's Volleyball,Not Won,,,
Rusheen McDonald,Jamaica,19,170,77,Male,8/17/1992,MANDEVILLE (JAM),Athletics,"Men's 400m, Men's 4 x 400m Relay",Not Won,,,
Rushlee Buchanan,New Zealand,24,170,63,Female,1/20/1988,Hamilton (NZL),Cycling - Track,Women's Team Pursuit,Not Won,,,
Rushmi Chakarvarthi,India,34,,,Female,9/10/1977,,Tennis,Women's Doubles,Not Won,,,
Ruslan Albegov,Russian Federation,24,192,156,Male,1/26/1988,VLADIKAVKAZ,Weightlifting,Men's +105kg,Won,,,1
Ruslan Dmytrenko,Ukraine,26,180,67,Male,3/22/1986,Kyiv Region (UKR),Athletics,Men's 20km Race Walk,Not Won,,,
Ruslan Ismailov,Kyrgyzstan,25,172,60,Male,11/22/1986,Bishkek (KGZ),Shooting,"Men's 10m Air Rifle, Men's 50m Rifle 3 Positions",Not Won,,,
Ruslan Kudayev,Uzbekistan,32,180,75,Male,5/8/1980,,Fencing,Men's Individual Epee,Not Won,,,
Ruslan Makarov,Uzbekistan,25,158,56,Male,1/19/1987,Tashkent Region,Weightlifting,Men's 56kg,Not Won,,,
Ruslan Nurudinov,Uzbekistan,20,183,105,Male,11/24/1991,ANDIJAN REGION (UZB),Weightlifting,Men's 105kg,Not Won,,,
Ruslans Sorokins,Latvia,30,197,94,Male,3/11/1982,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Rusmeris Villar Barbosa,Colombia,29,159,53,Female,3/28/1983,CARTAGENA,Weightlifting,Women's 53kg,Not Won,,,
Russell Ford,Australia,28,181,77,Male,8/18/1983,,Hockey,Men's Hockey,Not Won,,,
Russell Holmes,United States of America,30,203,93,Male,7/1/1982,Anaheim (USA),Volleyball,Men's Volleyball,Not Won,,,
Russell Mark,Australia,48,183,88,Male,2/25/1964,Ballarat (AUS),Shooting,Men's Double Trap,Not Won,,,
Russell Westbrook,United States of America,23,191,85,Male,11/22/1988,,Basketball,Men's Basketball,Not Won,,,
Rustam Iskandari,Tajikistan,20,176,96,Male,8/18/1991,Dushanbe (TJK),Wrestling,Men's 96kg Freestyle,Not Won,,,
Rustam Orujov,Azerbaijan,20,179,73,Male,10/4/1991,Irkutsk (RUS),Judo,Men's -73kg,Not Won,,,
Rustam Totrov,Russian Federation,28,172,96,Male,7/15/1984,VLADIKAVKAZ (RUS),Wrestling,Men's 96kg Greco-Roman,Not Won,,,
Rustam Ukumanov,Kazakhstan,26,192,93,Male,3/22/1986,,Water Polo,Men's Water Polo,Not Won,,,
Rustim Sabirkhouzine,Kazakhstan,34,179,87,Male,1/4/1978,Moscow (RUS),Modern Pentathlon,Men's Modern Pentathlon,Not Won,,,
Ruta Meilutyte,Lithuania,15,172,64,Female,3/19/1997,Kaunas (LTU),Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Breaststroke",Won,1,,
Rutger Smith,Netherlands,31,197,130,Male,7/9/1981,Groningen (NED),Athletics,"Men's Shot Put, Men's Discus Throw",Not Won,,,
Rutger van Schaardenburg,Netherlands,24,188,83,Male,10/8/1987,Alkmaar (NED),Sailing,Men's Laser,Not Won,,,
Ruth Beitia,Spain,33,191,72,Female,4/1/1979,Santander (ESP),Athletics,Women's High Jump,Not Won,,,
Ruth Gbagbi,Côte d'Ivoire,18,172,,Female,2/7/1994,Abidjan (CIV),Taekwondo,Women's -67kg,Not Won,,,
Ruy Fonseca,Brazil,39,,,Male,6/9/1973,Sao Paulo (BRA),Equestrian,"Individual Eventing, Team Eventing, TOM BOMBADILL TOO",Not Won,,,
Ryan Archibald,New Zealand,31,186,78,Male,9/1/1980,,Hockey,Men's Hockey,Not Won,,,
Ryan Bailey,United States of America,23,193,98,Male,4/13/1989,Portland (USA),Athletics,"Men's 100m, Men's 4 x 100m Relay",Not Won,,,
Ryan Bailey,United States of America,36,201,111,Male,8/28/1975,,Water Polo,Men's Water Polo,Not Won,,,
Ryan Bennett,Great Britain,22,188,70,Male,3/6/1990,,Football,Men's Football,Not Won,,,
Ryan Bertrand,Great Britain,22,180,73,Male,8/5/1989,,Football,Men's Football,Not Won,,,
Ryan Brathwaite,Barbados,24,185,77,Male,6/6/1988,Bridgetown (BAR),Athletics,Men's 110m Hurdles,Not Won,,,
Ryan Cochrane,Canada,29,178,74,Male,7/24/1983,,Canoe Sprint,"Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m",Not Won,,,
Ryan Cochrane,Canada,23,192,80,Male,10/29/1988,Victoria (CAN),Swimming,"Men's 400m Freestyle, Men's 1500m Freestyle",Won,,1,
Ryan Giggs,Great Britain,38,180,75,Male,11/29/1973,,Football,Men's Football,Not Won,,,
Ryan Gregson,Australia,22,184,73,Male,4/26/1990,Mount Warrigal (AUS),Athletics,Men's 1500m,Not Won,,,
Ryan Hall,United States of America,29,178,61,Male,10/14/1982,Kirkland (USA),Athletics,Men's Marathon,Not Won,,,
Ryan Harrison,United States of America,20,188,82,Male,5/7/1992,,Tennis,Men's Singles,Not Won,,,
Ryan Lochte,United States of America,28,188,88,Male,8/3/1984,Rochester (USA),Swimming,"Men's 200m Freestyle, Men's 200m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay",Won,1.25,1.25,1
Ryan Napoleon,Australia,22,187,84,Male,5/26/1990,Hornsby (AUS),Swimming,"Men's 400m Freestyle, Men's 4x200m Freestyle Relay",Not Won,,,
Ryan Nelsen,New Zealand,34,185,89,Male,10/18/1977,,Football,Men's Football,Not Won,,,
Ryan Seaton,Ireland,24,182,75,Male,12/3/1987,BELFAST (GBR),Sailing,Men's 49er,Not Won,,,
Ryan Sissons,New Zealand,24,175,61,Male,6/24/1988,Bulawayo (ZIM),Triathlon,Men's Triathlon,Not Won,,,
Ryan Whiting,United States of America,25,191,136,Male,11/24/1986,Harrisburg (USA),Athletics,Men's Shot Put,Not Won,,,
Ryder Hesjedal,Canada,31,188,73,Male,12/9/1980,Victoria (CAN),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Not Won,,,
Ryo Miyake,Japan,21,178,70,Male,12/24/1990,,Fencing,"Men's Individual Foil, Men's Team Foil",Won,,0.33,
Ryo Tateishi,Japan,23,182,70,Male,6/12/1989,Kanagawa (JPN),Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke",Won,,,1
Ryo Yamamoto,Japan,28,173,60,Male,5/18/1984,Kobe (JPN),Athletics,Men's Marathon,Not Won,,,
Ryohei Kato,Japan,18,162,,Male,9/9/1993,NUMAZU (JPN),Gymnastics - Artistic,"Men's Team, Men's Qualification",Won,,0.2,
Ryohei Yamazaki,Japan,23,172,72,Male,3/14/1989,,Football,Men's Football,Not Won,,,
Ryoko Kizaki,Japan,27,157,43,Female,6/21/1985,Kyoto (JPN),Athletics,Women's Marathon,Not Won,,,
Ryoko Oie,Japan,24,167,58,Female,6/4/1988,Tottori (JPN),Hockey,Women's Hockey,Not Won,,,
Ryosuke Irie,Japan,22,178,62,Male,1/24/1990,Osaka (JPN),Swimming,"Men's 100m Backstroke, Men's 200m Backstroke, Men's 4x100m Medley Relay",Won,,1.25,1
Ryota Murata,Japan,26,182,,Male,1/12/1986,,Boxing,Men's Middle (75kg),Not Won,,,
Ryota Yamagata,Japan,20,176,67,Male,6/10/1992,HIROSHIMA (JPN),Athletics,"Men's 100m, Men's 4 x 100m Relay",Not Won,,,
Rytis Sakalauskas,Lithuania,25,185,83,Male,6/27/1987,Alytus (LTU),Athletics,Men's 100m,Not Won,,,
Ryunosuke Harada,Japan,27,171,58,Male,5/6/1985,Nagasaki (JPN),Sailing,Men's 470,Not Won,,,
Ryutaro Matsumoto,Japan,26,168,60,Male,1/16/1986,CHIYODA (JPN),Wrestling,Men's 60kg Greco-Roman,Won,,,1
Sa-Nee Kim,Republic of Korea,31,177,65,Female,6/21/1981,Seoul (KOR),Volleyball,Women's Volleyball,Not Won,,,
Saad Surour Alyassi,United Arab Emirates,22,173,64,Male,7/19/1990,,Football,Men's Football,Not Won,,,
Saadeldin Saad,Egypt,23,168,82,Male,4/1/1989,,Football,Men's Football,Not Won,,,
Sabina Mikina,Azerbaijan,24,167,53,Female,10/24/1987,,Fencing,Women's Individual Sabre,Not Won,,,
Sabine Hazboun,Palestine,18,165,58,Female,6/11/1994,Bethlehem (PLE),Swimming,Women's 50m Freestyle,Not Won,,,
Sabine Krantz,Germany,31,167,51,Female,2/6/1981,Potsdam (GER),Athletics,Women's 20km Race Walk,Not Won,,,
Sabine Lisicki,Germany,22,178,70,Female,9/22/1989,,Tennis,"Women's Singles, Women's Doubles, Mixed Doubles",Not Won,,,
Sabine Spitz,Germany,40,168,60,Female,12/27/1971,Bad Sackingen (GER),Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Sabrina Crognale,Italy,26,170,58,Female,8/8/1985,Rome (ITA),Modern Pentathlon,Women's Modern Pentathlon,Not Won,,,
Sabrina Filzmoser,Austria,32,173,57,Female,6/12/1980,Wels (AUT),Judo,Women's -57kg,Not Won,,,
Sabrina Jaquet,Switzerland,25,169,59,Female,6/21/1987,La Chaux,Badminton,Women's Singles,Not Won,,,
Sabrina Mockenhaupt,Germany,31,156,45,Female,12/6/1980,Siegen (GER),Athletics,"Women's 10,000m",Not Won,,,
Sabrina Viguier,France,31,169,59,Female,1/4/1981,,Football,Women's Football,Not Won,,,
Sacha Denanyoh,Togo,32,176,81,Male,9/29/1979,Lome (TOG),Judo,Men's -81kg,Not Won,,,
Sacha Modolo,Italy,25,180,67,Male,6/19/1987,CONEGLIANO (ITA),Cycling - Road,Men's Road Race,Not Won,,,
Sachimi Iwao,Japan,36,152,53,Female,2/20/1976,KUSU (JPN),Hockey,Women's Hockey,Not Won,,,
Sadegh Saeed Goudarzi,Islamic Republic of Iran,24,179,74,Male,9/22/1987,MALAYER (IRI),Wrestling,Men's 74kg Freestyle,Not Won,,,
Sadio Mane,Senegal,20,175,75,Male,4/10/1992,,Football,Men's Football,Not Won,,,
Saeed Almaktoum,United Arab Emirates,35,,,Male,10/1/1976,DUBAI (UAE),Shooting,Men's Skeet,Not Won,,,
Saeed Alzahmi Zahmi,United Arab Emirates,22,174,68,Male,6/28/1990,,Football,Men's Football,Not Won,,,
Saehyuk Joo,Republic of Korea,32,180,67,Male,1/20/1980,Seoul,Table Tennis,"Men's Singles, Men's Team",Not Won,,,
Saeid Mohammadpourkarkaragh,Islamic Republic of Iran,19,180,94,Male,3/3/1993,ARDEBIL,Weightlifting,Men's 94kg,Not Won,,,
Saeid Morad Abdvali,Islamic Republic of Iran,22,170,66,Male,11/4/1989,ANDIMESHK (IRI),Wrestling,Men's 66kg Greco-Roman,Not Won,,,
Safaa Al-Jumaili,Iraq,22,175,83,Male,1/1/1990,DIYALA,Weightlifting,Men's 85kg,Not Won,,,
Safia Boukhima,Algeria,21,176,64,Female,1/10/1991,,Volleyball,Women's Volleyball,Not Won,,,
Safouane Attaf,Morocco,28,178,81,Male,3/9/1984,KENITRA (MAR),Judo,Men's -81kg,Not Won,,,
Safwan Khalil,Australia,26,184,,Male,5/15/1986,Tripoli (LIB),Taekwondo,Men's -58kg,Not Won,,,
Sahana Kumari,India,30,,,Female,3/6/1982,SOMESHWAR (IND),Athletics,Women's High Jump,Not Won,,,
Saheed Idowu,Congo,22,174,71,Male,1/3/1990,Brazzaville (CGO),Table Tennis,Men's Singles,Not Won,,,
Sahily Diago,Cuba,16,,,Female,8/26/1995,Matanzas (CUB),Athletics,Women's 4 x 400m Relay,Not Won,,,
Saida Khassenova,Kazakhstan,25,169,,Female,8/19/1986,Karaganda (KAZ),Boxing,Women's Light (60kg),Not Won,,,
Saina Nehwal,India,22,,,Female,3/17/1990,HYEDERABAD,Badminton,Women's Singles,Won,,,1
Sajad Moradi,Islamic Republic of Iran,29,185,75,Male,3/30/1983,Borojen (IRI),Athletics,Men's 800m,Not Won,,,
Sajjad Anoushiravani Hamlabad,Islamic Republic of Iran,28,192,105,Male,5/12/1984,ARDEBIL,Weightlifting,Men's +105kg,Won,,1,
Sajjad Hashemiahangari,Islamic Republic of Iran,20,178,69,Male,8/22/1991,Tabriz (IRI),Athletics,Men's 400m,Not Won,,,
Saki Kumagai,Japan,21,171,60,Female,10/17/1990,,Football,Women's Football,Won,,0.09,
Sakina Mamedova,Uzbekistan,26,154,59,Female,12/13/1985,Tashkent (UZB),Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions",Not Won,,,
Sakiyo Asano,Japan,25,164,60,Female,5/26/1987,KAGAMIHARA (JPN),Hockey,Women's Hockey,Not Won,,,
Salah Mejri,Tunisia,26,216,110,Male,6/15/1986,,Basketball,Men's Basketball,Not Won,,,
Salah Soliman,Egypt,22,188,83,Male,1/20/1990,,Football,Men's Football,Not Won,,,
